Table 8,,,,,,,,,,,
NEW JERSEY,,,,,,,,,,,
Offenses Known to Law Enforcement,,,,,,,,,,,
"by City, 2019",,,,,,,,,,,
City,Population,"Violent
crime","Murder and
nonnegligent
manslaughter",Rape1,Robbery,"Aggravated
assault","Property
crime",Burglary,"Larceny-
theft","Motor
vehicle
theft",Arson
Tavistock,5,0,0,0,0,0,0,0,0,0,0
Teaneck Township,"40,533",56,1,11,12,32,364,49,304,11,1
Tenafly,"14,586",1,0,0,1,0,89,14,63,12,1
Teterboro,68,0,0,0,0,0,102,0,99,3,0
Tewksbury Township,"5,765",2,0,0,0,2,23,6,14,3,0
Tinton Falls,"17,506",8,0,0,4,4,243,7,227,9,0
Toms River Township,"93,836",72,1,13,18,40,"1,248",136,"1,070",42,3
Totowa,"10,754",15,0,1,2,12,166,16,134,16,0
Trenton,"83,457",937,15,70,300,552,"1,748",360,"1,142",246,11
Tuckerton,"3,370",1,0,0,0,1,36,7,23,6,0
Union Beach,"5,396",11,0,0,0,11,14,5,8,1,1
Union City,"68,459",193,0,12,52,129,"1,080",101,891,88,3
Union Township,"58,736",43,0,4,27,12,912,44,792,76,1
Upper Saddle River,"8,245",2,0,0,0,2,27,4,14,9,0
Ventnor City,"9,966",15,0,4,2,9,364,66,282,16,0
Vernon Township,"21,912",3,0,0,0,3,81,12,68,1,0
Verona,"13,355",1,0,0,0,1,49,5,39,5,0
Vineland,"59,860",211,1,32,55,123,"1,686",269,"1,375",42,8
Voorhees Township,"29,099",30,0,0,10,20,352,34,309,9,1
Waldwick,"10,240",2,0,0,0,2,57,5,48,4,0
Wallington,"11,568",9,0,0,2,7,143,6,124,13,1
Wall Township,"25,648",22,0,0,0,22,178,21,144,13,0
Wanaque,"11,772",4,0,1,0,3,34,2,27,5,0
Warren Township,"15,772",0,0,0,0,0,42,11,25,6,0
Washington,"6,453",8,0,0,0,8,44,9,33,2,0
"Washington Township, Bergen County","9,219",1,0,0,0,1,19,1,14,4,0
"Washington Township, Gloucester County","47,126",72,0,2,3,67,652,91,543,18,1
"Washington Township, Morris County","18,296",12,0,3,0,9,80,13,63,4,0
"Washington Township, Warren County","6,391",6,2,0,0,4,64,8,51,5,0
Watchung,"6,054",1,0,0,0,1,320,13,301,6,0
Waterford Township,"10,664",12,0,3,1,8,54,6,48,0,0
Wayne Township,"53,279",30,0,0,8,22,894,78,777,39,0
Weehawken Township,"15,115",22,0,5,4,13,231,41,178,12,0
Wenonah,"2,204",1,0,0,0,1,32,5,27,0,0
Westampton Township,"8,666",30,0,9,6,15,159,17,131,11,0
West Amwell Township,"2,727",1,0,0,0,1,27,3,23,1,0
West Caldwell Township,"10,840",2,0,1,0,1,54,7,42,5,1
West Cape May,"1,003",1,0,1,0,0,11,4,7,0,0
West Deptford Township,"20,902",16,0,1,7,8,244,57,167,20,0
Westfield,"29,688",4,0,0,2,2,141,9,112,20,0
West Long Branch,"7,889",0,0,0,0,0,89,7,75,7,0
West Milford Township,"26,287",13,0,2,1,10,127,18,104,5,1
West New York,"53,145",128,1,13,58,56,692,85,580,27,0
West Orange,"47,696",92,0,17,16,59,673,80,532,61,1
Westville,"4,128",9,0,1,1,7,120,29,84,7,0
West Wildwood,553,2,0,0,0,2,9,2,7,0,0
West Windsor Township,"28,026",11,0,0,4,7,310,46,259,5,2
Westwood,"11,129",0,0,0,0,0,75,23,49,3,0
Wharton,"6,417",10,0,0,3,7,57,9,47,1,0
Wildwood,"4,959",29,0,0,8,21,318,47,267,4,0
Wildwood Crest,"3,051",17,0,2,0,15,63,19,44,0,0
Willingboro Township,"31,920",102,5,13,25,59,421,114,274,33,3
Winfield Township,"1,507",0,0,0,0,0,9,3,6,0,0
Winslow Township,"38,390",67,0,3,13,51,492,99,345,48,6
Woodbridge Township,"100,125",111,2,13,24,72,"1,413",117,"1,197",99,1
Woodbury,"9,768",28,0,1,4,23,299,46,241,12,4
Woodbury Heights,"2,949",1,0,0,1,0,53,7,42,4,0
Woodcliff Lake,"5,853",2,0,0,1,1,29,4,25,0,0
Woodland Park,"12,657",14,0,1,0,13,167,18,136,13,0
Woodlynne,"2,901",12,0,0,3,9,55,5,45,5,0
Wood-Ridge,"9,328",1,0,0,0,1,45,1,43,1,0
Woodstown,"3,440",1,0,0,0,1,34,10,23,1,0
Woolwich Township,"13,075",2,0,1,1,0,54,5,45,4,1
Wyckoff Township,"17,030",5,0,2,0,3,81,10,64,7,0
1 The figures shown in this column for the offense of rape were reported using only the revised Uniform Crime Reporting definition of rape. See the data declaration for further explanation. ,,,,,,,,,,,
